seq_name,fps,duration,w,h,bitrate,codec,preset,vmaf,psnr_y,float_ssim,real,user,sys,actual_bitrate
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,1000,libx265,8,63.460786818889,31.821250995555605,0.924847779999999,0:11.32,86.10,2.99,1143.24
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,1000,libaom-av1,8,78.74263054111117,34.56415327555555,0.9534934955555547,2:27.01,466.27,3.25,1101.31
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,1500,libx265,8,72.43971392888889,33.076050946666676,0.9463589933333335,0:11.39,92.44,3.26,1713.76
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,1500,libaom-av1,8,84.78111775000004,35.726388222222205,0.96694330888889,3:22.98,596.56,6.82,1655.04
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,2000,libx265,8,78.12955552555549,33.96279993777775,0.9579917333333343,0:09.59,100.01,3.10,2288.55
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,2000,libaom-av1,8,88.34009797000009,36.52899113000001,0.97484448,5:13.37,628.50,6.13,2206.18
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,2500,libx265,8,82.07325180111108,34.64530734444444,0.9653650877777773,0:16.42,103.76,2.72,2852.17
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,2500,libaom-av1,8,90.88338547666662,37.18662891000003,0.9795289166666671,3:29.74,658.82,3.33,2762.1
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,3000,libx265,8,85.05684993444444,35.222103610000005,0.970587152222222,0:16.21,105.82,2.89,3427.28
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,3000,libaom-av1,8,92.69219258888891,37.70942156777774,0.9827645800000014,3:33.42,672.93,3.61,3310.09
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,3500,libx265,8,87.15933000333335,35.68580026333336,0.9742926244444453,0:16.32,109.56,2.90,3988.95
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,3500,libaom-av1,8,94.1165068277778,38.18261446444439,0.985177732222222,3:40.97,695.40,3.45,3861.97
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,4000,libx265,8,88.92096644111116,36.09790716222219,0.9772484755555558,0:15.06,114.23,3.09,4542.82
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,4000,libaom-av1,8,95.2138532411111,38.605999944444434,0.9869969700000003,4:05.09,757.79,7.09,4411.68
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,4500,libx265,8,90.37267943,36.481381315555545,0.9796388266666664,0:15.64,115.73,3.03,5116.16
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,4500,libaom-av1,8,95.90759151888874,38.949956221111115,0.9881510855555554,4:10.64,783.20,3.58,4964.76
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,500,libx265,8,45.30841780333328,29.43726913444442,0.8663267044444439,0:08.00,77.25,3.64,557.88
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,500,libaom-av1,8,67.31628512111104,32.61173225000004,0.9250150744444446,2:20.71,446.12,4.06,557.46
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,5000,libx265,8,91.53164905,36.82098160444447,0.981559541111111,0:15.44,120.18,3.20,5681.72
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,5000,libaom-av1,8,96.68397866222222,39.28803797888889,0.989543637777777,4:16.94,802.43,3.65,5514.52
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,5500,libx265,8,92.4986679966666,37.13652653777781,0.9831471988888894,0:19.72,120.53,2.78,6238.43
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,5500,libaom-av1,8,97.23220107,39.59056030111115,0.990502426666666,3:58.05,716.36,6.25,6066.69
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,6000,libx265,8,93.31579689666668,37.4233585811111,0.9845370822222227,0:19.72,120.75,2.72,6803.42
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,6000,libaom-av1,8,97.7137058466668,39.89382639111115,0.991324074444446,3:52.92,723.25,3.27,6619.03
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,1000,libsvtav1,13,63.871878365555546,31.96398901333333,0.9169894677777779,0:17.48,51.76,4.26,710.24
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,1500,libsvtav1,13,72.00754828888881,33.071562842222214,0.939962362222222,0:16.59,56.18,4.36,1119.29
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,2000,libsvtav1,13,78.3055463866666,33.96767077666668,0.9555049588888891,0:16.93,58.68,4.27,1623.51
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,2500,libsvtav1,13,82.02876015999998,34.55900823000004,0.9631938300000006,0:13.38,46.03,3.40,2091.95
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,3000,libsvtav1,13,85.25441818666665,35.114312145555566,0.969707021111111,0:13.66,47.43,3.38,2652.39
CSGO_30fps_30sec_v2,30.00000000000000000000,30.000000,1920,1080,3500,libsvtav1,13,87.51267368222211,35.52030284444446,0.9737037366666675,0:13.95,48.44,3.30,3112.25
