seq_name,fps,duration,w,h,bitrate,codec,preset,enc_duration,vmaf,psnr_y,float_ssim
akiyo_cif,29.97002997002997002997,10.010000,352,288,500,HEVC,faster,0,95.89674390333333,45.89238576666663,0.9855993466666676
akiyo_cif,29.97002997002997002997,10.010000,352,288,500,VVC,faster,0,96.32030306333334,47.37626967000003,0.9922159533333333
akiyo_cif,29.97002997002997002997,10.010000,352,288,500,AV1,faster,0,97.21369244666658,51.60097698666668,0.9972815366666666
big_buck_bunny_480p,24.00000000000000000000,12.500000,704,480,500,HEVC,faster,0,90.30439741,39.13962949999998,0.9841880300000002
big_buck_bunny_480p,24.00000000000000000000,12.500000,704,480,500,VVC,faster,0,94.01458461666657,41.51956074333332,0.992472573333333
big_buck_bunny_480p,24.00000000000000000000,12.500000,704,480,500,AV1,faster,0,96.0813336566667,45.03754516999999,0.9958894933333339
