Dettagli risparmio bitrate per intervallo di VMAF:
                     seq_name  vmaf_bin           codec  bitrate_savings_%
             Sparks_cut_15_4K        79 libvvenc_1.12.1          34.722366
             Sparks_cut_15_4K        81 libvvenc_1.12.1          36.543798
        bigbuck_bunny_8bit_4k        86      libaom-av1          52.201466
        bigbuck_bunny_8bit_4k        89      libaom-av1          55.196882
        bigbuck_bunny_8bit_4k        92      libaom-av1          57.582532
        bigbuck_bunny_8bit_4k        94      libaom-av1          52.753148
        bigbuck_bunny_8bit_4k        86       libsvtav1          53.090184
        bigbuck_bunny_8bit_4k        92       libsvtav1          47.161215
        bigbuck_bunny_8bit_4k        94       libsvtav1          47.306238
        bigbuck_bunny_8bit_4k        86 libvvenc_1.12.1          47.946534
        bigbuck_bunny_8bit_4k        89 libvvenc_1.12.1          44.733197
        bigbuck_bunny_8bit_4k        92 libvvenc_1.12.1          45.129621
        bigbuck_bunny_8bit_4k        94 libvvenc_1.12.1          45.605034
    cutting_orange_tuil_1080p        85      libaom-av1          61.713243
    cutting_orange_tuil_1080p        89      libaom-av1          58.224425
    cutting_orange_tuil_1080p        62       libsvtav1          63.318996
    cutting_orange_tuil_1080p        87       libsvtav1          50.109770
    cutting_orange_tuil_1080p        89       libsvtav1          50.683491
    cutting_orange_tuil_1080p        90       libsvtav1          47.048366
    cutting_orange_tuil_1080p        91       libsvtav1          44.710084
    cutting_orange_tuil_1080p        87 libvvenc_1.12.1          41.577392
    cutting_orange_tuil_1080p        89 libvvenc_1.12.1          40.624775
    cutting_orange_tuil_1080p        91 libvvenc_1.12.1          43.440218
       cutting_orange_tuil_4k        68      libaom-av1          71.713382
       cutting_orange_tuil_4k        77      libaom-av1          66.983758
       cutting_orange_tuil_4k        87      libaom-av1          66.314635
       cutting_orange_tuil_4k        89      libaom-av1          69.099489
       cutting_orange_tuil_4k        90      libaom-av1          71.033648
       cutting_orange_tuil_4k        91      libaom-av1          63.780987
       cutting_orange_tuil_4k        93      libaom-av1          68.083620
       cutting_orange_tuil_4k        68       libsvtav1          65.495283
       cutting_orange_tuil_4k        83       libsvtav1          59.860573
       cutting_orange_tuil_4k        90       libsvtav1          56.792275
       cutting_orange_tuil_4k        91       libsvtav1          55.288675
       cutting_orange_tuil_4k        92       libsvtav1          51.047852
       cutting_orange_tuil_4k        93       libsvtav1          51.101241
       cutting_orange_tuil_4k        77 libvvenc_1.12.1          45.491661
       cutting_orange_tuil_4k        78 libvvenc_1.12.1          43.084848
       cutting_orange_tuil_4k        83 libvvenc_1.12.1          46.521449
       cutting_orange_tuil_4k        90 libvvenc_1.12.1          45.348476
       cutting_orange_tuil_4k        92 libvvenc_1.12.1          47.488974
       cutting_orange_tuil_4k        93 libvvenc_1.12.1          54.367000
           vegetables_tuil_4k        88      libaom-av1          63.896469
           vegetables_tuil_4k        91      libaom-av1          60.994213
           vegetables_tuil_4k        92      libaom-av1          62.695460
           vegetables_tuil_4k        93      libaom-av1          56.916570
           vegetables_tuil_4k        94      libaom-av1          55.806266
           vegetables_tuil_4k        79       libsvtav1          72.492527
           vegetables_tuil_4k        83       libsvtav1          68.003957
           vegetables_tuil_4k        88       libsvtav1          63.592953
           vegetables_tuil_4k        92       libsvtav1          62.038546
           vegetables_tuil_4k        93       libsvtav1          56.372358
           vegetables_tuil_4k        94       libsvtav1          36.017346
           vegetables_tuil_4k        88 libvvenc_1.12.1          62.360600
           vegetables_tuil_4k        91 libvvenc_1.12.1          59.576073
           vegetables_tuil_4k        92 libvvenc_1.12.1          53.492450
           vegetables_tuil_4k        94 libvvenc_1.12.1          60.303194
          water_netflix_1080p        89      libaom-av1           4.143139
          water_netflix_1080p        92      libaom-av1           1.055477
          water_netflix_1080p        93       libsvtav1           7.124429
          water_netflix_1080p        82 libvvenc_1.12.1          16.805862
          water_netflix_1080p        92 libvvenc_1.12.1           9.171957
          water_netflix_1080p        93 libvvenc_1.12.1          11.827517
             water_netflix_4k        86      libaom-av1          -1.550829
             water_netflix_4k        90      libaom-av1          -4.665011
             water_netflix_4k        91      libaom-av1          -6.092507
             water_netflix_4k        92      libaom-av1          -8.076014
             water_netflix_4k        93      libaom-av1          -8.724998
             water_netflix_4k        94      libaom-av1          -9.105298
             water_netflix_4k        95      libaom-av1          -9.870002
             water_netflix_4k        96      libaom-av1         -17.117525
             water_netflix_4k        97      libaom-av1         -26.510632
             water_netflix_4k        80       libsvtav1          10.632518
             water_netflix_4k        86       libsvtav1           8.295752
             water_netflix_4k        88       libsvtav1           7.703194
             water_netflix_4k        90       libsvtav1           7.233995
             water_netflix_4k        92       libsvtav1          14.210220
             water_netflix_4k        93       libsvtav1          13.069172
             water_netflix_4k        94       libsvtav1          12.350791
             water_netflix_4k        95       libsvtav1          11.723716
             water_netflix_4k        96       libsvtav1          -2.374900
             water_netflix_4k        97       libsvtav1          -2.011856
             water_netflix_4k        86 libvvenc_1.12.1           4.201816
             water_netflix_4k        88 libvvenc_1.12.1           3.631914
             water_netflix_4k        91 libvvenc_1.12.1           5.705842
             water_netflix_4k        92 libvvenc_1.12.1           0.316890
             water_netflix_4k        93 libvvenc_1.12.1           1.772959
             water_netflix_4k        94 libvvenc_1.12.1           3.127487
             water_netflix_4k        95 libvvenc_1.12.1          -0.941442
        vegetables_tuil_1080p        85      libaom-av1          64.160221
        vegetables_tuil_1080p        89      libaom-av1          58.920388
        vegetables_tuil_1080p        92      libaom-av1          54.308368
        vegetables_tuil_1080p        93      libaom-av1          49.749805
        vegetables_tuil_1080p        94      libaom-av1          46.909289
        vegetables_tuil_1080p        85       libsvtav1          65.973484
        vegetables_tuil_1080p        90       libsvtav1          62.845216
        vegetables_tuil_1080p        92       libsvtav1          47.707216
        vegetables_tuil_1080p        93       libsvtav1          48.151649
